"denominazione","Stato","codice.Istat","media","diff","TITOLO_DI_STUDIO","SESSO","PARTITO_LISTA_COALIZIONE","nord","eta_sindaco","grado.di.autonomia.impositiva","grado.di.dipendenza.da.contributi.e.trasferimenti.correnti","grado.di.finanziamento.interno","grado.di.autonomia.finanziaria","rigidit√..della.spesa","incidenza.spese.personale.su.spese.correnti","grado.di.dipendenza.da.finanziamento.esterno","incidenza.spese.personale.su.entrate..correnti","spese.per.rimborso.prestiti.in.relazione.alle.entrate.correnti","indice.di.consistenza.iniziale.dei.residui.passivi","capacit√..di.spesa"
"Cerrina monferrato","1",6059,1420,-128,"3","1","LISTA CIVICA: INSIEME PER IL FUTURO DI CERRINA","1",63,0.734333333333333,0.1295,0.1195,0.642,0.338333333333333,0.3415,0.065,0.321,0.0326666666666667,0.912,0.623
"Argentera","2",4006,76.5,-9,"3","0","LISTA CIVICA: OGGI E DOMANI","1",47,NA,0.066625,0.275875,0.341,0.890875,0.204125,0.26825,0.181,0.710125,0.62975,0.595875
"Cravagliana","2",2048,264.5,-25,"4","0",NA,"1",36,0.616,0.2465,NA,0.376,0.5865,0.366833333333333,0.140833333333333,0.357833333333333,NA,1.78516666666667,0.515875
"Lignana","1",2070,559.5,-39,"4","1","LISTA CIVICA: PER IL BUON GOVERNO","1",64,0.813,0.157,0.036875,0.629625,0.320666666666667,0.36525,0,0.3045,0.0302222222222222,NA,0.768666666666667
"Aurano","1",103005,103.5,1,"3","1","LISTA CIVICA: ALPES","1",43,0.440625,0.204625,0.259875,0.54325,0.183625,0.102428571428571,0.020875,0.079,0.114625,NA,0.4585
"Caprezzo","1",103018,167,-2,"4","1","LISTA CIVICA: VIVERE CAPREZZO","1",58,0.553666666666667,0.193333333333333,0.159333333333333,0.527,0.26,0.156,NA,0.128333333333333,0.131666666666667,1.72366666666667,0.524333333333333
"Craveggia","1",103024,746,26,"2","1",NA,"1",67,NA,0.127714285714286,0.305,0.560571428571429,NA,0.302857142857143,0.140571428571429,0.269571428571429,0.273875,0.846,NA
"Intragna","1",103037,106.5,-1,"3","1","LISTA CIVICA: RINASCITA DELLA MONTAGNA","1",56,0.4695,0.1256,0.3208,0.6864,0.3135,NA,0,0.1974,0.1155,NA,NA
"Foppolo","1",16103,194.5,-15,"3","1",NA,"1",49,0.809363636363636,0.0672222222222222,NA,0.263111111111111,0.846636363636364,NA,0.241888888888889,0.136444444444444,NA,1.21566666666667,0.650818181818182
"Azzano mella","2",17008,3161,398,"4","0","LISTA CIVICA: AZZANO RICRESCE","1",36,0.643727272727273,0.191111111111111,0.147444444444444,0.505222222222222,0.357636363636364,0.181777777777778,0.0708888888888889,0.183444444444444,0.184181818181818,0.515222222222222,0.725363636363636
"Campione ditalia","2",13040,2041,-198,"4","1",NA,"1",67,0.277181818181818,0.0376666666666667,0.629888888888889,NA,NA,0.345333333333333,NA,0.291888888888889,0.190818181818182,0.470111111111111,0.783272727272727
"Paderno ponchielli","1",19065,1434,-74,"3","1","LISTA CIVICA: PER IL BENE COMUNE","1",43,0.5604,0.262444444444444,0.160777777777778,0.574333333333333,0.3348,0.315555555555556,0.0572222222222222,0.286888888888889,0.0735,0.457888888888889,0.7426
"Castellucchio","1",20016,5204,-54,"4","1","LISTA CIVICA: CON LA GENTE","1",66,0.624909090909091,0.154444444444444,0.204777777777778,0.695666666666667,NA,0.251777777777778,0.00177777777777778,0.223,0.0746363636363636,0.486666666666667,0.811545454545455
"Truccazzano","1",15224,5888,-132,"3","1","LISTA CIVICA: L'ALTRA LISTA","1",55,0.646666666666667,0.0904285714285714,0.229428571428571,0.726,0.195111111111111,0.201428571428571,0,0.196285714285714,NA,0.702571428571429,NA
"Monticelli pavese","1",18099,707.5,-13,"4","1","LISTA CIVICA: AMMINISTRARE INSIEME","1",70,0.697,0.275111111111111,0.110666666666667,NA,0.382636363636364,0.322666666666667,0.0323333333333333,0.317666666666667,0.0594545454545455,NA,0.643
"Carenno","1",97014,1468,-52,"3","1",NA,"1",42,0.636,0.161888888888889,0.158888888888889,0.623222222222222,0.4289,0.278444444444444,0.0911111111111111,0.241222222222222,0.1901,0.488666666666667,0.7655
"Monte marenzo","1",97052,1928,-92,"4","0",NA,"1",49,0.5781,0.173111111111111,0.179666666666667,0.562222222222222,0.5071,0.239,0.192555555555556,0.225222222222222,0.284,0.546777777777778,0.7341
"Bertonico","1",98002,1141,-66,"3","0","LISTA CIVICA: PROGETTO PER BERTONICO","1",41,0.659444444444444,NA,0.172125,NA,0.288666666666667,0.2285,0.018625,0.2095,0.0873333333333333,0.814875,0.588777777777778
"Megliadino san vitale","1",28052,1911.5,-139,NA,NA,NA,NA,NA,0.365363636363636,0.304888888888889,0.299111111111111,NA,0.242454545454545,0.175555555555556,NA,0.168555555555556,0.0957272727272727,NA,0.651909090909091
"Crespino","1",29019,1873,-184,"4","0","LISTA CIVICA: INSIEME COSTRUIAMO IL FUTURO","1",41,0.216375,0.303,0.436375,0.623,0.206125,0.17625,0.003625,0.15825,0.04775,0.658875,0.69525
"Peschiera del garda","1",23059,10085.5,1447,"4","0","LISTA CIVICA: ORIETTA GAIULLI SINDACO","1",49,0.401181818181818,0.117666666666667,0.412444444444444,0.664555555555556,0.210545454545455,0.190111111111111,NA,0.173444444444444,0.0403636363636364,0.375888888888889,0.765454545454545
"Velo veronese","1",23090,772,-8,"4","1","LISTA CIVICA: IN VELO","1",70,0.549111111111111,0.309625,0.09425,0.412,0.301,0.265375,0.04525,0.24575,NA,1.316875,NA
"Tresigallo","1",38024,4473.5,-167,"3","1","LISTA CIVICA: NOI SIAMO PER CAMBIARE","1",54,0.608,0.203888888888889,0.168111111111111,0.601,0.400545454545455,0.328888888888889,0.0497777777777778,0.288222222222222,0.124727272727273,0.622111111111111,NA
"Zerba","1",33047,82,-18,"3","0","LISTA CIVICA: VIVIAMO LA VALLE","1",45,0.624,0.268,0.137444444444444,0.505555555555556,0.377,0.325222222222222,NA,0.298888888888889,0.0680909090909091,0.867444444444444,NA
"Firenze","1",48017,363601.5,12567,"4","1","ITALIA DEI VALORI | LISTA CIVICA: NARDELLA | LISTA CIVICA: POPOLARI PER FIRENZE | LISTA CIVICA: FIRENZE AL CENTRO | LISTA CIVICA: SOSTIENI FIRENZE | COMUNISTI ITALIANI | PARTITO DEMOCRATICO","1",41,0.446272727272727,0.224222222222222,0.279,0.553,0.387181818181818,0.353444444444444,0.0495555555555556,0.331555555555556,0.0718181818181818,0.885555555555556,NA
"Castellazzara","1",53005,1507,-186,"2","1","LISTA CIVICA: SOLIDARIETA' E PARTECIPAZIONE","1",61,0.687909090909091,0.226444444444444,0.213666666666667,0.461888888888889,0.372818181818182,0.294888888888889,0.0555555555555556,0.269777777777778,NA,1.18,0.638454545454545
"Stazzema","1",46030,3132.5,-323,"4","1","LISTA CIVICA: IMPEGNO PER STAZZEMA 2019","1",49,0.510818181818182,0.235888888888889,0.130666666666667,0.422444444444444,0.446272727272727,0.194444444444444,0.166888888888889,0.180333333333333,0.267636363636364,1.05066666666667,NA
"Terni","2",55032,109832,1444,"4","1","SINISTRA ECOLOGIA LIBERTA' | LISTA CIVICA: ALLEANZA DEMOCRATICI E LIBERALI | LISTA CIVICA: TERNI DEI VALORI | LISTA CIVICA: TERNI OLTRE | PARTITO DEMOCRATICO | LISTA CIVICA: PROGETTO TERNI | LISTA CIVICA: CITTAPERTA - TERNI DINAMICA","1",65,0.5574,0.261555555555556,0.125555555555556,0.345777777777778,1.0729,0.355222222222222,0.388111111111111,0.325111111111111,NA,0.775777777777778,NA
"Offagna","2",42033,1963.5,151,"3","1","LISTA CIVICA: RINASCITA PER OFFAGNA","1",63,0.488545454545455,0.349,0.147888888888889,0.284222222222222,0.960636363636364,0.295444444444444,0.328,0.305666666666667,0.654,0.313444444444444,NA
"Fratte rosa","2",41016,978.5,-75,"4","1","LISTA CIVICA: LA FRATTEROSA CHE VORREI","1",41,NA,0.289777777777778,0.134111111111111,0.333666666666667,NA,0.377555555555556,0.398222222222222,0.338777777777778,0.757545454545455,0.613666666666667,0.698727272727273
"Montecalvo in foglia","1",41030,2735.5,65,"3","0","LISTA CIVICA: IMPEGNO COMUNE","1",57,0.680181818181818,0.275666666666667,0.0558888888888889,0.424,0.752545454545455,0.293666666666667,0.316111111111111,0.267444444444444,0.485818181818182,0.677444444444444,0.683727272727273
"Arpino","1",60010,7181,-350,"4","1",NA,"0",56,0.644090909090909,NA,0.0686666666666667,0.413555555555556,NA,0.379333333333333,NA,0.347,0.227909090909091,1.38744444444444,0.603636363636364
"Cassino","2",60019,34988.5,2721,"4","1","FORZA ITALIA | LISTA CIVICA: INSIEME CASSINO | FRATELLI D'ITALIA - ALLEANZA NAZIONALE | LISTA CIVICA: REAZIONE | NOI CON SALVINI | LISTA CIVICA: IO E TE","0",45,0.615272727272727,0.268333333333333,0.106,0.498,0.505636363636364,0.323666666666667,0.154333333333333,0.282888888888889,0.235818181818182,0.875333333333333,NA
"Fiuggi","1",60035,10032,828,NA,NA,NA,NA,NA,0.512090909090909,0.114777777777778,0.252333333333333,0.558777777777778,0.550090909090909,0.245555555555556,0.153333333333333,0.223777777777778,0.336454545454545,1.797,0.472909090909091
"Pignataro interamna","2",60054,2511.5,-101,NA,NA,NA,NA,NA,0.321,0.237,0.226555555555556,0.342111111111111,0.378181818181818,0.251555555555556,0.177888888888889,0.240555555555556,0.138272727272727,1.09622222222222,0.585636363636364
"Cittareale","1",57017,456,-26,"SPECIALIZZAZIONE POST 4 / DOTTORATO DI RICERCA","1","LISTA CIVICA: PER CITTAREALE","0",39,0.121833333333333,0.648666666666667,0.2085,0.2275,0.357333333333333,0.255333333333333,0.067,0.244333333333333,0.113,2.53733333333333,NA
"Rieti","1",57059,46513,876,"3","1","FORZA ITALIA | DIREZIONE ITALIA | LISTA CIVICA: UNITI PER RIETI | AGIRE-FRATELLI D'ITALIA-AN | UNIONE DI CENTRO | LISTA CIVICA: PATTO X RIETI | LISTA CIVICA: AMO RIETI | LISTA CIVICA: #IOCISTO | LISTA CIVICA: ALTERNATIVA PER RIETI","0",65,NA,0.243375,0.12075,0.403,0.6742,0.24825,0.2855,0.230875,0.4424,1.132875,0.6053
"Ardea","2",58117,46529.5,3841,"3","1","MOVIMENTO 5 STELLE.IT","0",67,0.731818181818182,0.137777777777778,0.113,0.684333333333333,0.247909090909091,0.197666666666667,NA,0.195333333333333,0.0616363636363636,1.47433333333333,0.561909090909091
"Bellegra","2",58012,2870,-164,"3","1","LISTA CIVICA: SVILUPPIAMO BELLEGRA","0",39,0.7016,0.220333333333333,0.0663333333333333,0.387333333333333,NA,0.304,0.223666666666667,0.263,0.2644,1.37733333333333,0.5854
"Guidonia montecelio","1",58047,84305.5,5535,NA,"1","MOVIMENTO 5 STELLE.IT","0",58,0.652090909090909,0.236,0.098,0.518111111111111,0.340727272727273,0.218888888888889,0.107666666666667,0.203888888888889,0.147727272727273,1.45266666666667,0.567545454545455
"Acate","2",88001,10237.5,1159,"4","1",NA,"0",67,0.380285714285714,0.504714285714286,0.0744285714285714,0.309142857142857,0.675428571428571,0.409428571428571,0.166428571428571,NA,0.278714285714286,0.771285714285714,0.538571428571429
"Acri","2",78003,20823,-1258,"4","1","LISTA CIVICA: UNITI PER LA' MUCONE | LISTA CIVICA: ACRI IN COMUNE | PARTITO DEMOCRATICO | LISTA CIVICA: MAD MOVIMENTO ACRI DEMOCRATICO | LISTA CIVICA: LIBERAMENTE | LISTA CIVICA: NUOVI ORIZZONTI | SI SINISTRA ITALIANA","0",44,0.452,0.402666666666667,0.0961111111111111,0.280666666666667,0.654727272727273,0.247333333333333,0.180111111111111,0.229666666666667,0.400454545454545,1.43533333333333,0.575363636363636
"Alife","2",61002,7554.5,-225,NA,NA,NA,NA,NA,0.684333333333333,0.181166666666667,0.0518333333333333,NA,0.953333333333333,NA,0.232666666666667,0.32,0.6335,1.36416666666667,0.473166666666667
"Amantea","2",78010,13869,174,"4","1","LISTA CIVICA: LISTAZZURRA","0",54,0.558222222222222,0.190222222222222,0.125555555555556,0.355888888888889,1.05411111111111,0.214555555555556,0.393666666666667,0.197,0.857333333333333,1.36555555555556,0.545777777777778
"Aragona","2",84003,9405,-172,"3","1",NA,"0",52,0.377111111111111,0.44075,0.12875,0.393375,0.532555555555556,0.40225,0.0695,0.40525,0.141111111111111,0.725375,0.615666666666667
"Augusta","2",89001,35499,-1250,"4","0","MOVIMENTO 5 STELLE BEPPEGRILLO.IT","0",43,NA,0.34975,0.056,0.371,1.024875,NA,0.3535,0.324,0.701,0.88125,0.646
"Avellino","1",64008,54016,-508,NA,"1","PARTITO DEMOCRATICO | LISTA CIVICA: DEMOCRATICI PER AVELLINO | LISTA CIVICA: AUTONOMIA SUD - NOI PER IL SUD | CENTRO DEMOCRATICO","0",67,0.660727272727273,0.234888888888889,0.101555555555556,0.544888888888889,0.298272727272727,0.283111111111111,0.0576666666666667,NA,0.0479090909090909,3.08677777777778,0.572454545454545
"Bacoli","2",63006,26343.5,-603,"4","1","UNIONE DI CENTRO - CIVICA | CAMPANIA LIBERA | FEDERAZIONE DEI VERDI | LISTA CIVICA: AURORA FLEGREA | LISTA CIVICA: CITTADINI PER BACOLI | PARTITO DEMOCRATICO","0",60,0.6533,0.155777777777778,0.110444444444444,0.398,1.233,0.445888888888889,0.399888888888889,0.422555555555556,0.8167,0.705222222222222,0.6703
"Badolato","2",79008,3049,-258,"3","1","LISTA CIVICA: NUOVI ORIZZONTI","0",68,0.5431,0.244625,0.16275,0.432625,NA,0.245125,0.068,0.227375,0.1268,1.7095,0.5519
"Bagnara calabra","2",80007,10211.5,-789,"3","1","LISTA CIVICA: BAGNARA BENE COMUNE","0",63,0.521777777777778,0.256888888888889,0.137888888888889,0.428333333333333,0.548333333333333,0.372,0.137111111111111,0.330888888888889,0.217444444444444,1.27888888888889,0.536222222222222
"Barrafranca","1",86004,13144,-1638,"4","1","LISTA CIVICA: PDR-SICILIA FUTURA | UNIONE DI CENTRO-AREA POPOLARE | PARTITO DEMOCRATICO","0",48,0.244428571428571,0.649,0.053,0.162142857142857,1.09742857142857,0.516857142857143,0.258714285714286,0.516857142857143,0.580571428571429,0.292285714285714,0.818428571428571
"Belcastro","2",79009,1332.5,-135,NA,"1","LISTA CIVICA: IL FUTURO » NOSTRO...SOSTENIAMOLO","0",35,0.504875,0.21375,0.1915,0.457625,0.715125,0.412625,0.135875,0.386,0.329,1.41925,0.59475
"Bellona","1",61007,5876,280,"4","1","LISTA CIVICA: BELLONA FUTURO E SVILUPPO","0",43,0.680090909090909,0.228222222222222,0.0548888888888889,0.323333333333333,1.08,0.286444444444444,0.435333333333333,0.268666666666667,0.811090909090909,1.126,0.598545454545454
"Belmonte mezzagno","2",82009,11177.5,-9,"4","1","LISTA CIVICA: BELMONTE LIBERA - PIZZO SINDACO","0",34,0.440666666666667,0.464444444444444,0.0654444444444444,0.326111111111111,0.784,0.416555555555556,0.173333333333333,NA,0.383888888888889,1.30633333333333,0.614555555555556
"Benestare","1",80008,2494.5,89,"3","1","LISTA CIVICA: VIVERE BENESTARE","0",38,0.421,0.344888888888889,0.108222222222222,0.357111111111111,0.386454545454545,NA,0.0585555555555556,0.343666666666667,NA,1.57155555555556,0.477181818181818
"Benevento","2",62008,60021,-2552,"4","1","UNIONE DI CENTRO | FORZA ITALIA | LISTA CIVICA: LISTA MASTELLA | LISTA CIVICA: NOI SANNITI PER MASTELLA","0",70,0.681818181818182,0.237222222222222,0.0853333333333333,0.364555555555556,0.747636363636364,0.254222222222222,0.281444444444444,0.231777777777778,0.518727272727273,1.42144444444444,0.732090909090909
"Bojano","2",70003,7903,-94,NA,"1","LISTA CIVICA: BOJANO FUTURA","0",49,0.456285714285714,0.300166666666667,0.11,0.316,0.545428571428571,0.3135,0.112333333333333,0.278333333333333,0.272428571428571,1.64633333333333,0.458857142857143
"Bolognetta","2",82011,4021,128,"3","1",NA,"0",33,0.4963,0.491555555555556,0.0343333333333333,0.290333333333333,0.8562,0.315555555555556,0.302888888888889,0.297777777777778,0.5565,0.587,0.7344
"Bompensiere","1",85002,575.5,-75,"3","1","LISTA CIVICA","0",54,0.143272727272727,0.845222222222222,0.0155555555555556,NA,1.07354545454545,0.504333333333333,0.274222222222222,0.500555555555556,0.575636363636364,0.180888888888889,0.829090909090909
"Borgetto","2",82013,7108,144,NA,NA,NA,NA,NA,NA,NA,0.0856666666666667,0.292666666666667,0.7278,0.474111111111111,0.171666666666667,0.430777777777778,0.3051,0.964555555555556,0.7131
"Boroneddu","1",95016,161,0,"4","1","LISTA CIVICA: DIALOGO E CONTINUITA'","0",50,0.078,0.8995,0.0168333333333333,0.0463333333333333,0.301428571428571,0.3235,0.017,0.303333333333333,0.0155714285714286,1.206,0.451428571428571
"Botricello","2",79012,5030,212,"4","1","LISTA CIVICA: L'ALTRA BOTRICELLO","0",59,0.518888888888889,0.270625,0.161125,0.443125,0.510111111111111,0.244375,0.161875,0.233125,0.278777777777778,1.4885,0.492444444444444
"Bovalino","2",80012,8791.5,-7,"4","1","LISTA CIVICA: AGAVE","0",41,0.525,NA,0.152666666666667,0.537,0.369,0.261666666666667,0.0544444444444444,0.230555555555556,0.139,3.02533333333333,0.4767
"Briatico","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brolo","1",83007,5796,-66,"4","0",NA,"0",42,NA,0.605,0.165666666666667,0.253666666666667,0.815,0.592,0.0893333333333333,0.492666666666667,0.322333333333333,0.18,0.845
"Buscemi","2",89004,1062.5,-119,"4","1","LISTA CIVICA","0",63,0.278,0.693,0.0272222222222222,0.121777777777778,1.44509090909091,0.619555555555556,0.389,0.586222222222222,0.883181818181818,0.607888888888889,0.790363636363636
"Caivano","2",63011,37544,-238,NA,NA,NA,NA,NA,0.609444444444444,0.171,0.178777777777778,0.666333333333333,NA,0.251444444444444,0.02,0.224777777777778,0.0735555555555556,1.50511111111111,0.571777777777778
"Calvi","2",62012,2607.5,-3,"4","1","LISTA CIVICA: PER CALVI","0",43,0.400181818181818,0.488333333333333,0.111111111111111,0.321333333333333,0.569,0.338444444444444,NA,0.294777777777778,0.277272727272727,2.01444444444444,0.583272727272727
"Calvi risorta","2",61010,5713,-140,"4","1","LISTA CIVICA: UNITI PER LA RINASCITA CALENA","0",38,0.612857142857143,0.177714285714286,0.154857142857143,0.453,0.604285714285714,0.206857142857143,0.117285714285714,0.188428571428571,0.416142857142857,1.106,0.582285714285714
"Campobello di mazara","1",81004,11548.5,-79,"3","1",NA,"0",54,0.5205,0.33875,NA,0.39325,0.5623,0.4045,0.135375,0.39975,0.179,NA,0.5873
"Camporotondo etneo","1",87012,4783.5,597,"4","1",NA,"0",35,0.332111111111111,NA,0.11875,0.325625,0.326444444444444,0.315875,0.035125,0.3165,0.0133333333333333,1.120875,0.672666666666667
"Cancello ed arnone","2",61012,5565.5,241,"4","1","LISTA CIVICA: UNICA PE","0",43,0.694666666666667,0.21,0.259,0.649,0.354333333333333,0.228,0.066,0.181,0.0766666666666667,2.619,0.45
"Canzano","1",67009,1912,-100,"4","1","LISTA CIVICA: FUTURO E TERRITORIO","0",35,0.5758,0.248111111111111,0.138111111111111,NA,0.4282,0.344111111111111,0.0676666666666667,0.324666666666667,0.1144,0.791222222222222,0.672
"Cardeto","2",80022,1661,-320,"3","1","CEN-DES(LS.CIVICHE): FORZA CENTRO DESTRA-INDIPENDENTI","0",49,0.4446,0.333555555555556,0.113222222222222,0.350111111111111,0.5427,0.492222222222222,0.0661111111111111,0.460333333333333,0.0977,2.08266666666667,0.5413
"Cariati","2",78025,8263.5,-787,"4","0","LISTA CIVICA: L'ALTERNATIVA","0",50,0.538125,NA,0.127285714285714,0.397714285714286,0.481875,0.271428571428571,0.201285714285714,0.279285714285714,0.21025,1.72814285714286,0.54775
"Carini","2",82021,36844,2384,"4","1",NA,"0",61,0.645125,0.275375,0.050875,0.431125,0.77175,0.3,0.273625,NA,0.50025,0.742875,0.695
"Carolei","2",78026,3372,-130,"4","1",NA,"0",46,0.669111111111111,0.165857142857143,0.154,0.603857142857143,0.336888888888889,0.267714285714286,NA,0.249285714285714,0.0901111111111111,1.69571428571429,NA
"Casandrino","2",63020,13585.5,455,NA,NA,NA,NA,NA,NA,0.102,0.215666666666667,0.665333333333333,0.26325,0.266833333333333,0.0446666666666667,0.227,0.019625,1.37633333333333,0.5105
"Casapulla","1",61021,8329,352,"3","1","LISTA CIVICA: CASAPULLA DOMANI","0",39,0.724111111111111,0.148714285714286,0.218571428571429,0.464428571428571,0.525111111111111,0.299571428571429,0.174857142857143,0.270428571428571,0.265444444444444,1.58285714285714,0.607888888888889
"Caserta","2",61022,75191,-868,"4","1","VERDI | PARTITO SOCIALISTA ITALIANO - ALTRI | LISTA CIVICA: SUD INDIPENDENTE | LISTA CIVICA: DEMOCRATICI PER CASERTA | CENTRO DEMOCRATICO | PARTITO DEMOCRATICO | LISTA CIVICA: TERRA LIBERA | LISTA CIVICA: ENERGIE CASERTANE | LISTA CIVICA: CASERTA POPOLARE","0",48,0.6347,0.205777777777778,0.122333333333333,NA,0.5335,0.297111111111111,NA,0.276555555555556,0.262,1.331,0.6195
"Cassaro","2",89007,788,-52,"3","0",NA,"0",43,0.1751,0.739333333333333,0.0617777777777778,0.159444444444444,0.8717,0.482888888888889,0.23,0.443,0.4309,0.628,0.7651
"Castel campagnano","2",61023,1550.5,-113,"4","1","LISTA CIVICA: INSIEME PER IL DOMANI","0",53,NA,0.219,0.0712857142857143,0.263428571428571,1.13477777777778,0.333857142857143,0.326571428571429,0.331285714285714,0.800333333333333,1.02457142857143,0.703111111111111
"Casteldaccia","2",82023,11127,514,"4","1",NA,"0",46,0.456,0.4825,NA,0.293666666666667,0.851666666666667,0.359,0.281666666666667,0.328,0.523666666666667,1.101,0.611
"Castellino del biferno","2",70014,570.5,-37,"3","1","LISTA CIVICA: MOVIMENTO INSORGENTE","0",50,0.403,0.2924,0.1548,0.211,1.15642857142857,0.1776,0.2794,0.155,0.989571428571429,4.7606,0.590714285714286
"Casteltermini","2",84012,8098,-630,"3","1","LISTA CIVICA: COSTRUIAMO INSIEME IL NOSTRO FUTURO - NICASTRO SINDACO","0",47,0.265571428571429,0.671428571428571,0.046,0.195571428571429,0.863428571428571,0.494142857142857,0.222142857142857,0.471142857142857,0.392571428571429,0.575571428571429,0.729142857142857
"Castelvetrano","2",81006,31283.5,-955,NA,NA,NA,NA,NA,0.425909090909091,NA,0.0942222222222222,0.318444444444444,0.642454545454546,0.410777777777778,0.178555555555556,0.379333333333333,0.278909090909091,0.710111111111111,0.745727272727273
"Catania","2",87015,295428,4648,"4","1",NA,"0",66,0.538454545454545,0.381888888888889,0.0626666666666667,0.278222222222222,1.02418181818182,NA,0.383111111111111,0.297222222222222,0.736636363636364,1.00966666666667,0.658818181818182
"Caulonia","2",80025,7004.5,-95,"4","0","LISTA CIVICA: CITTA' FUTURA","0",43,0.347636363636364,0.490777777777778,0.115,NA,0.373272727272727,0.302,0.0891111111111111,0.279555555555556,0.0947272727272727,1.31977777777778,0.549363636363636
"Ceraso","1",65040,2398,-200,"4","1","LISTA CIVICA: IL SOLE","0",42,0.5079,0.370444444444444,0.0988888888888889,0.290444444444444,0.7053,NA,0.222111111111111,0.310444444444444,NA,NA,0.6486
"Cerchiara di calabria","2",78036,2404,-136,"4","1","LISTA CIVICA: CON CERCHIARA NEL CUORE","0",53,0.411444444444444,0.397285714285714,0.126714285714286,0.292428571428571,0.426333333333333,0.353428571428571,0.101285714285714,0.334428571428571,0.0898888888888889,1.55014285714286,0.567666666666667
"Cerda","2",82028,5222,-338,"3","1","LISTA CIVICA","0",64,0.382666666666667,0.547111111111111,0.0487777777777778,0.311888888888889,0.702444444444444,0.495222222222222,NA,0.486333333333333,0.216444444444444,0.940777777777778,0.739888888888889
"Cerreto sannita","2",62023,3929,-272,"3","1","LISTA CIVICA: LA CITT¿ NUOVA","0",60,0.317125,0.433666666666667,0.174333333333333,0.314833333333333,0.33525,0.207166666666667,0.106166666666667,0.184,NA,2.08166666666667,NA
"Cesa","1",61029,8864,678,"4","1","LISTA CIVICA: PRIMAVERA CESANA","0",38,0.687222222222222,0.161,0.149857142857143,0.587428571428571,0.322333333333333,0.300857142857143,0.0481428571428571,0.281285714285714,0.0514444444444444,2.03214285714286,NA
"Chiaravalle centrale","2",79029,5656.5,-413,"3","1","LISTA CIVICA: RIPENSIAMO CHIARAVALLE","0",53,0.546454545454545,NA,0.118111111111111,0.392777777777778,0.911545454545455,0.372444444444444,0.290888888888889,0.328222222222222,0.594636363636364,1.03844444444444,0.732909090909091
"Chieti","1",69022,50953.5,-943,"4","1","LISTA CIVICA: NOI DOMANI | NUOVO CENTRO DESTRA | UNIONE DI CENTRO | LISTA CIVICA: IDENTIT¿ TEATINA | FORZA ITALIA | FRATELLI D'ITALIA-AN-ALTRI","0",48,0.554545454545455,0.216555555555556,0.152666666666667,0.410666666666667,0.587454545454545,NA,0.240222222222222,0.217444444444444,NA,1.34755555555556,0.631454545454545
"Chieuti","2",71021,1706,-118,"3","1","LISTA CIVICA: CHIEUTI LIBERA","0",52,0.584,0.182333333333333,0.160555555555556,0.416333333333333,0.4846,0.302666666666667,0.0872222222222222,0.282666666666667,0.2073,1.76166666666667,0.6973
"Civitaluparella","2",69023,334,-30,"4","0",NA,"0",49,0.317,0.379125,0.228625,0.339875,0.4108,0.215125,0.11475,0.19075,NA,4.589375,0.5152
"Civitella messer raimondo","2",69024,835,-52,"4","1",NA,"0",33,NA,0.34075,0.160375,0.392625,0.4078,0.256875,0.151,0.231875,0.2014,1.313125,0.6297
"Colobraro","1",77006,1259,-172,"4","1","LISTA CIVICA: IL RILANCIO","0",53,0.3982,0.414444444444444,0.119,0.290777777777778,0.5227,0.403333333333333,0.0642222222222222,NA,0.1459,1.364,NA
"Condofuri","1",80029,4993.5,-149,"4","1","LISTA CIVICA: IMPEGNO PER CONDOFURI","0",36,0.479,0.288111111111111,0.137777777777778,0.457888888888889,0.372,0.243555555555556,0.0831111111111111,0.227555555555556,0.151454545454545,2.31033333333333,NA
"Corvara","1",68016,257.5,-41,"3","1","LISTA CIVICA: UNITI PER FARE","0",35,0.645444444444444,NA,0.123428571428571,0.475142857142857,0.501111111111111,0.455857142857143,0.00971428571428572,0.440571428571429,0.0665555555555556,0.461,0.833
"Cropani","2",79036,4504,370,NA,NA,NA,NA,NA,0.5485,0.223,0.1235,0.393333333333333,0.7535,0.228,0.359333333333333,0.1995,0.562,1.32366666666667,0.63825
"Crucoli","2",101011,3108,-272,"4","1","PARTITO DEMOCRATICO","0",35,0.518363636363636,0.347666666666667,0.0787777777777778,0.306444444444444,0.752545454545455,0.376777777777778,NA,0.352666666666667,0.423545454545455,1.27255555555556,0.561272727272727
"Cutro","2",101012,10113,62,"3","1","LISTA CIVICA: CUTRO CITT¿ NORMALE","0",61,0.494,0.216,0.229285714285714,0.532285714285714,0.416,0.343571428571429,0.101857142857143,0.303285714285714,0.127666666666667,1.22485714285714,0.552555555555556
"Duronia","1",70022,415,-20,"2","1","LISTA CIVICA: PAESE MIO","0",59,0.501545454545455,0.224111111111111,0.179,0.309666666666667,0.695272727272727,0.359444444444444,0.133222222222222,0.351222222222222,0.368272727272727,1.089,0.557363636363636
"Favara","2",84017,32463.5,-971,"4","0",NA,"0",34,0.409,0.5055,0.043875,0.235,1.224125,NA,0.375625,0.418,0.806125,0.551375,0.714125
