"denominazione","Stato","codice.Istat","media","diff","TITOLO_DI_STUDIO","SESSO","PARTITO_LISTA_COALIZIONE","nord","eta_sindaco","grado.di.autonomia.impositiva","grado.di.dipendenza.da.contributi.e.trasferimenti.correnti","grado.di.finanziamento.interno","grado.di.autonomia.finanziaria","rigidit√..della.spesa","incidenza.spese.personale.su.spese.correnti","grado.di.dipendenza.da.finanziamento.esterno","incidenza.spese.personale.su.entrate..correnti","spese.per.rimborso.prestiti.in.relazione.alle.entrate.correnti","indice.di.consistenza.iniziale.dei.residui.passivi","capacit√..di.spesa"
"Massimeno","0",22112,130.5,15,"2","1",NA,"1",52,0.268727272727273,0.344222222222222,0.305222222222222,0.335111111111111,0.331909090909091,0.263222222222222,0.0225555555555556,NA,0.0990909090909091,0.806888888888889,NA
"Mazzin","0",22113,545.5,71,"3","0",NA,"1",44,NA,0.179888888888889,0.288666666666667,0.529888888888889,0.230090909090909,0.288111111111111,NA,0.232111111111111,0.00972727272727273,0.578555555555556,0.653090909090909
"Mezzana","0",22114,880,8,"3","1",NA,"1",53,0.378272727272727,0.255777777777778,0.249111111111111,0.45,0.401727272727273,0.332555555555556,0.0688888888888889,0.264444444444444,0.139727272727273,0.597555555555556,0.683272727272727
"Mezzano","0",22115,1616,8,"4","1","Lista Civica non pervenuta","1",51,0.204272727272727,0.333333333333333,0.351444444444444,0.376222222222222,0.391,0.36,0.0431111111111111,0.300666666666667,0.0844545454545454,NA,0.648272727272727
"Mezzocorona","0",22116,5354,350,"3","1",NA,"1",43,0.333909090909091,0.378888888888889,0.200888888888889,0.346222222222222,0.435363636363636,0.389333333333333,0.0297777777777778,0.331222222222222,0.106636363636364,0.858111111111111,0.648272727272727
"Mezzolombardo","0",22117,7011,314,"3","1","Lista Civica non pervenuta","1",37,0.266,0.400222222222222,0.363555555555556,0.395444444444444,0.349272727272727,NA,0.018,0.281,0.0682727272727273,1.27355555555556,0.599090909090909
"Moena","0",22118,2672.5,-19,"3","1",NA,"1",31,0.287333333333333,0.289777777777778,0.312888888888889,0.476,0.453666666666667,NA,0.0377777777777778,0.300333333333333,0.153,0.694,0.703333333333333
"Molveno","0",22120,1114,4,"4","1",NA,"1",55,0.202888888888889,0.170625,0.48425,0.559,0.233444444444444,0.197625,0.016625,0.18025,0.0565555555555556,0.565125,NA
"Mori","0",22123,9710.5,477,"3","1","Colore Politico non pervenuto","1",40,NA,0.558888888888889,NA,0.287,NA,0.494777777777778,0.0248888888888889,0.423666666666667,0.107888888888889,0.714555555555556,0.633777777777778
"Nago-torbole","0",22124,2775.5,79,"3","1","Lista Civica non pervenuta","1",47,0.312636363636364,0.265222222222222,0.35,0.457444444444444,0.340090909090909,0.349333333333333,0.00866666666666667,0.311777777777778,0.0464545454545455,1.29011111111111,0.540909090909091
